Site,TimeStamp,DO_mgL
Azevedo Pond,5/5/21 3:45,0
Azevedo Pond,5/5/21 4:00,0
Azevedo Pond,5/5/21 4:15,0
Azevedo Pond,5/5/21 4:30,0
Azevedo Pond,5/5/21 4:45,0
Azevedo Pond,5/5/21 5:00,0
Azevedo Pond,5/5/21 5:15,0
Azevedo Pond,5/5/21 5:30,0
Azevedo Pond,5/5/21 5:45,0
Azevedo Pond,5/5/21 6:00,0
Azevedo Pond,5/5/21 6:15,0
Azevedo Pond,5/5/21 6:30,0
Azevedo Pond,5/5/21 6:45,0
Azevedo Pond,5/5/21 7:00,0
Azevedo Pond,5/5/21 7:15,0
Azevedo Pond,5/5/21 7:30,0.1
Azevedo Pond,5/5/21 7:45,0.7
Azevedo Pond,5/5/21 8:00,0.5
Azevedo Pond,5/5/21 8:15,0.8
Azevedo Pond,5/5/21 8:30,0.9
Azevedo Pond,5/5/21 8:45,1
Azevedo Pond,5/5/21 9:00,2
Azevedo Pond,5/5/21 9:15,4.7
Azevedo Pond,5/5/21 9:30,4.5
Azevedo Pond,5/5/21 9:45,5.2
Azevedo Pond,5/5/21 10:00,5.6
Azevedo Pond,5/5/21 10:15,3.4
Azevedo Pond,5/5/21 10:30,2.3
Azevedo Pond,5/5/21 10:45,1.6
Azevedo Pond,5/5/21 11:00,0.5
Azevedo Pond,5/5/21 11:15,0.2
Azevedo Pond,5/5/21 11:30,0.3
Azevedo Pond,5/5/21 11:45,0.6
Azevedo Pond,5/5/21 12:00,0.2
Azevedo Pond,5/5/21 12:15,0.2
Azevedo Pond,5/5/21 12:30,0.3
Azevedo Pond,5/5/21 12:45,0.3
Azevedo Pond,5/5/21 13:00,0.4
Azevedo Pond,5/5/21 13:15,0.2
Azevedo Pond,5/5/21 13:30,0.1
Azevedo Pond,5/5/21 13:45,0.4
Azevedo Pond,5/5/21 14:00,0.2
Azevedo Pond,5/5/21 14:15,0.2
Azevedo Pond,5/5/21 14:30,0.1
Azevedo Pond,5/5/21 14:45,0.6
Azevedo Pond,5/5/21 15:00,1.1
Azevedo Pond,5/5/21 15:15,1.3
Azevedo Pond,5/5/21 15:30,1.6
Azevedo Pond,5/5/21 15:45,2.1
Azevedo Pond,5/5/21 16:00,1
Azevedo Pond,5/5/21 16:15,1.1
Azevedo Pond,5/5/21 16:30,2.3
Azevedo Pond,5/5/21 16:45,2.2
Azevedo Pond,5/5/21 17:00,3.5
Azevedo Pond,5/5/21 17:15,3.2
Azevedo Pond,5/5/21 17:30,3.5
Azevedo Pond,5/5/21 17:45,3.3
Azevedo Pond,5/5/21 18:00,4.8
Azevedo Pond,5/5/21 18:15,5.5
Azevedo Pond,5/5/21 18:30,5.2
Azevedo Pond,5/5/21 18:45,3.5
Azevedo Pond,5/5/21 19:00,0.3
Azevedo Pond,5/5/21 19:15,0
Azevedo Pond,5/5/21 19:30,0
Azevedo Pond,5/5/21 19:45,0
Azevedo Pond,5/5/21 20:00,0.3
Azevedo Pond,5/5/21 20:15,0.2
