Site,TimeStamp,DO_mgL
North Marsh,5/7/21 12:45,8.7
North Marsh,5/7/21 13:00,9.3
North Marsh,5/7/21 13:15,9.5
North Marsh,5/7/21 13:30,9.8
North Marsh,5/7/21 13:45,10.1
North Marsh,5/7/21 14:00,11.1
North Marsh,5/7/21 14:15,11.6
North Marsh,5/7/21 14:30,11.1
North Marsh,5/7/21 14:45,10.8
North Marsh,5/7/21 15:00,11.3
North Marsh,5/7/21 15:15,11.2
North Marsh,5/7/21 15:30,10.8
North Marsh,5/7/21 15:45,11.9
North Marsh,5/7/21 16:00,11.6
North Marsh,5/7/21 16:15,11.8
North Marsh,5/7/21 16:30,11.2
North Marsh,5/7/21 16:45,9.5
North Marsh,5/7/21 17:00,9.9
North Marsh,5/7/21 17:15,9.4
North Marsh,5/7/21 17:30,10.1
North Marsh,5/7/21 17:45,9.4
North Marsh,5/7/21 18:00,8.9
North Marsh,5/7/21 18:15,9
North Marsh,5/7/21 18:30,8.7
North Marsh,5/7/21 18:45,8.9
North Marsh,5/7/21 19:00,8.8
North Marsh,5/7/21 19:15,8.7
North Marsh,5/7/21 19:30,8.6
North Marsh,5/7/21 19:45,8.8
North Marsh,5/7/21 20:00,8.3
North Marsh,5/7/21 20:15,8.3
North Marsh,5/7/21 20:30,8.4
North Marsh,5/7/21 20:45,8.5
North Marsh,5/7/21 21:00,8.4
North Marsh,5/7/21 21:15,8.3
North Marsh,5/7/21 21:30,8.5
North Marsh,5/7/21 21:45,8.4
North Marsh,5/7/21 22:00,8.2
North Marsh,5/7/21 22:15,8.1
North Marsh,5/7/21 22:30,7.8
North Marsh,5/7/21 22:45,7.5
North Marsh,5/7/21 23:00,7.4
North Marsh,5/7/21 23:15,7.1
North Marsh,5/7/21 23:30,6.7
North Marsh,5/7/21 23:45,6.5
North Marsh,5/8/21 0:00,6.2
North Marsh,5/8/21 0:15,6
North Marsh,5/8/21 0:30,4.9
North Marsh,5/8/21 0:45,3.3
North Marsh,5/8/21 1:00,2.9
North Marsh,5/8/21 1:15,3
North Marsh,5/8/21 1:30,2.5
North Marsh,5/8/21 1:45,3
North Marsh,5/8/21 2:00,3.4
North Marsh,5/8/21 2:15,3.5
North Marsh,5/8/21 2:30,3.1
North Marsh,5/8/21 2:45,3
North Marsh,5/8/21 3:00,3
North Marsh,5/8/21 3:15,2.7
North Marsh,5/8/21 3:30,2.4
North Marsh,5/8/21 3:45,2.2
North Marsh,5/8/21 4:00,2
North Marsh,5/8/21 4:15,1.8
North Marsh,5/8/21 4:30,1.6
North Marsh,5/8/21 4:45,1.5
North Marsh,5/8/21 5:00,1.1
North Marsh,5/8/21 5:15,0.9
North Marsh,5/8/21 5:30,0.9
North Marsh,5/8/21 5:45,0.9
North Marsh,5/8/21 6:00,0.6
North Marsh,5/8/21 6:15,1.1
North Marsh,5/8/21 6:30,1.9
North Marsh,5/8/21 6:45,2.9
North Marsh,5/8/21 7:00,3.8
